ID,EmriV,NrV,NrQV,NRVV,Komuna,EQV,01gja,02gja,P01KA,P02A,P02B,P03Perg,P04KVV,P04Fem,P05Lla,P05Ngj,P05Lis,P05Flv,P05Vul,P05Kut,P05Lib,P05Kab,P05ZFK,P06NFP,P07VNL,P08NKV,P09TKZ,P10SHS,P11NRS,P12KFV,PV1KHV,PDK,LDK,LVV,AAK,AKR,ParTj01,ParTj02,ParTj03,OJQ,Media,VzhND,VzhTjere,PV03UVL,PV04IDK,PV05GSH,PV06VUL,PV07-10,PV07-13,PV07-16,PV07-19,PV08ELV,PV09NVK,PV10VAS,PV11-3AN,PV12_Ref,PV12IFPo,ProcVotKom,PA01x1,PAifPO,PA02Fot,PA03M1F,PA04PPD,PA05DHU,PA06PRP,PA07M1P,PA08MBV,PA09VJK,PA10VAV,PA11VMF,PA12PAA,PA13INC,PM01PPV,PM02PJA,PM03LVT,PM04NUM,PM05-PDK,PM05-LDK,PM05-LVV,PM05-AAK,PM05-AKR,PM05-TJ1,PM05-TJ2,PM05-TJ3,PM05-OJQ,PM05-MED,PM05-VZH,PM05-TJE,PM06PPA,PM06KUSH,PM07VSH,PM08SHS,PM09SS,PM10NEN,PM11NVL,PM12NSH,PM13FVP,PM14PSH,PM15VSS,PM16ANA,PAK01,PAK02,PAK03,PAK04,PKK01,PKK02,PKK03,PKK04,VK00,VK01,VK02,PNR01,PNR02,PNR03,PNR04,PNR04Kush,PNR05Kom,VezhEm01,NrV01,VezhEm02,NrV02,KmnInc,Lokacioni,IncOra,IncTxt,IncVet,IncDeshm1,ID1Kon,IncDeshm2,ID2Kon,IncDeshm3,ID3Kon,IncKomTj,KomShtese,User,Time
267,,,1917E,03R,Prishtinë,Gjergi Fishta,JO,JO,6:00 - 7:00,PO,PO,6:00 - 7:00,8,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,800,848,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,67,209,350,452,7,0,8,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,PO,JO,JO,3,0,Nganjëherë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,848,452,PO,PO,PO,PO,452,13,PO,PO,452,47,PO,PO,0,0,,Gjithmonë,,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Inesa 1,11/22/2013
268,,,1920E,02R,Prishtinë,ZENEL HAJDINI,N/A,N/A,6:00 - 7:00,PO,,N/A,8,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,806,0,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,FALSE,KQZ,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,85,225,340,440,0,0,30,PO,N/A,0,,N/A,N/A,N/A,JO,JO,JO,JO,JO,JO,JO,0,0,N/A,N/A,19:00 - 19:30,JO,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,806,440,PO,PO,PO,,440,62,PO,PO,440,9,PO,PO,0,0,,,,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
269,,,1917E,07D,Prishtinë,GJERGJ FISHTA,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,700,735,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,0,0,0,0,0,8,10,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,N/A,N/A,19:00 - 19:30,JO,N/A,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,735,367,PO,PO,PO,PO,367,39,PO,PO,367,5,PO,PO,8,8,PO,Gjithmonë,Gjithmonë,23:00 +,JO,,Procesi I numerimit te votave ke shum ne menyr te rregullt.,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
270,,,1960E,03D,Prishtinë,NEGJMI MUSTAFA,PO,,6:00 - 7:00,,,6:00 - 7:00,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,350,359,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,35,82,142,179,16,16,13,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,359,179,PO,PO,PO,PO,350,30,PO,PO,350,15,PO,PO,16,16,,Gjithmonë,,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
271,,,1960E,01R,Prishtinë,NEGJMI MUSTAFA,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,900,914,3,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,55,113,142,170,0,0,23,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,480,480,PO,PO,PO,PO,422,58,PO,PO,480,3,PO,PO,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
272,,,1960E,02R,Prishtinë,NEXHMI MUSTAFA,N/A,N/A,6:00 - 7:00,,,6:00 - 7:00,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,550,594,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,55,150,203,0,0,0,23,PO,PO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,594,289,PO,PO,PO,PO,288,43,PO,PO,288,5,PO,PO,0,0,,Gjithmonë,,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
273,,,1928E,01D,Prishtinë,DITURIA SHKABAJ,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,850,859,3,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,70,200,400,492,36,36,15,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Nganjëherë,JO,19:00 - 19:30,JO,,20:00 - 21:00,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,859,492,PO,PO,PO,,418,38,,,456,444,PO,,36,36,,Nganjëherë,Aspak,,,,,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
274,,,1921X,04R,Prishtinë,NAZIM GAFARRI,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,421,846,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,PSD,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,55,171,286,421,10,0,37,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,N/A,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,PDAK,RP,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,845,421,,,,,421,0,PO,PO,421,6,PO,PO,0,0,,,,,JO,,,,,,,,,,,,,,,,,,,,2013-12-5 DnV-F1 - Jetmir Bakija,11/25/2013
275,,,1920X,6,Prishtinë,NAZIM GAFURII,JO,PO,6:00 - 7:00,PO,,6:00 - 7:00,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,700,718,2,PO,PO,PO,PO,7:00 - 7:30,FALSE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,88,116,296,397,0,43,0,PO,JO,0,,PO,JO,JO,JO,JO,JO,JO,PO,JO,JO,3,4,Gjithmonë,JO,19:00 - 19:30,PO,PO,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,700,397,PO,PO,PO,PO,397,3,PO,PO,,3,JO,PO,0,0,,,,19:30 - 20:00,JO,,,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
276,,,1920X,05R,Prishtinë,NAZIM GAFURRI,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,6,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,900,919,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,72,185,317,428,47,0,33,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,N/A,19:00 - 19:30,N/A,,N/A,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,FALSE,,,,,,,,0,0,,,,,0,0,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
277,,,1914E,01R,Prishtinë,Naim Frasheri,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,9,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,850,859,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,"OSCE, AMBASADA ITALIANE",Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,61,250,389,0,0,0,15,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,N/A,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,PD,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,859,488,,,,,488,51,,,488,3,,,0,0,,,,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
278,,,1924E,02R,Prishtinë,Sh.f. Meto Bajraktari,N/A,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,16,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,850,888,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,87,256,380,496,0,0,18,PO,JO,0,,PO,JO,PO,JO,JO,JO,JO,PO,JO,JO,0,0,Aspak,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,FALSE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,888,496,JO,PO,PO,PO,496,68,,,496,13,PO,,0,0,,Gjithmonë,Gjithmonë,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Besian 1,11/22/2013
279,,,1914E,04D,Prishtinë,NAIM FRASHERI,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,7,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,650,66,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,59,180,295,387,10,2,12,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,2,0,Gjithmonë,N/A,19:00 - 19:30,JO,N/A,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,,,PO,PO,PO,PO,666,388,PO,PO,PO,,383,0,PO,PO,347,36,PO,PO,5,5,,Gjithmonë,Gjithmonë,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
280,,,1901E,04R,Prishtinë,NAIM FRASHERI,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,9,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,750,754,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,PF,PD,,FALSE,TRUE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,52,180,283,359,26,0,12,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,N/A,N/A,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,,,PO,PO,PO,PO,754,359,PO,PO,PO,,359,3,PO,PO,750,29,PO,PO,0,0,,Gjithmonë,,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
281,,,1931E,01R,Prishtinë,A.Z CAJUPI,N/A,N/A,6:00 - 7:00,PO,PO,6:00 - 7:00,6,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1500,794,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,CDK,DNV,EU,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,82,181,320,418,0,0,12,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,794,418,PO,PO,PO,PO,418,42,PO,PO,418,7,PO,PO,0,0,,Gjithmonë,Gjithmonë,20:00 - 23:00,JO,,,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
282,,N/A,1941E,01D,Prishtinë,SH.F 'TEFIK C.,PO,JO,6:00 - 7:00,PO,PO,6:00 - 7:00,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,FALSE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,17,22,31,40,0,0,4,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,N/A,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,236,236,,,,PO,236,2,PO,PO,214,2,PO,PO,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
283,,,1943E,01D,Prishtinë,AZEMI ESALIHU,PO,JO,6:00 - 7:00,PO,PO,6:00 - 7:00,13,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300,339,2,PO,PO,PO,PO,7:00 - 7:30,FALSE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,31,69,0,0,15,15,6,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19: - 19:30,JO,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,339,151,PO,PO,PO,PO,136,23,PO,PO,136,4,PO,PO,15,15,,Gjithmonë,,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Inesa 1,11/25/2013
284,,,1942E,01R,Prishtinë,RILINDJA,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,550,557,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,35,115,180,239,10,0,18,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,557,239,JO,JO,PO,PO,239,32,PO,PO,239,4,PO,PO,0,0,,Gjithmonë,,23:00 +,JO,,,,,,,,,,,,,,,,,,,,2013-12-5 DnV-F1 - Jetmir Bakija,11/25/2013
285,,,1919E,03R,Prishtinë,SAMI FRASHERI,PO,JO,6:00 - 7:00,PO,PO,6:00 - 7:00,6,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,753,443,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,90,240,369,443,0,0,0,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,N/A,19:00 - 19:30,JO,,N/A,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,443,443,PO,PO,PO,PO,443,51,PO,PO,443,8,PO,PO,0,0,,Gjithmonë,Gjithmonë,,JO,,,,,,,,,,,,,,,,,,,,2013-12-5 DnV-F1 - Jetmir Bakija,11/25/2013
286,,,1919E,02R,Prishtinë,28 NENTORI,PO,JO,6:00 - 7:00,PO,PO,6:00 - 7:00,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,850,850,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,87,153,353,0,7,0,19,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,850,440,PO,PO,PO,PO,440,46,PO,PO,440,12,PO,,0,0,,Gjithmonë,Gjithmonë,23:00 +,,,,,,,,,,,,,,,,,,,,,2013-12-5 DnV-F1 - Jetmir Bakija,11/25/2013
287,,,1919E,06D,Prishtinë,28 NENTORI,PO,JO,7:00 - 7:30,PO,PO,N/A,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,850,868,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,85,235,370,523,0,50,0,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,1,1,Gjithmonë,N/A,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,868,523,PO,PO,PO,PO,472,65,PO,PO,474,7,PO,PO,49,0,,Gjithmonë,Gjithmonë,23:00 +,JO,,,,,,,,,,,,,,,,,,,,2013-12-5 DnV-F1 - Jetmir Bakija,11/26/2013
288,,,1916E,04D,Prishtinë,ELENA GJIKU,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,600,639,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,FALSE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,66,192,300,387,19,17,19,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,PO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,FALSE,TRUE,TRUE,FALSE,KDTP,KTB,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,639,387,JO,JO,PO,PO,370,31,PO,PO,370,6,PO,PO,17,17,JO,Gjithmonë,Gjithmonë,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Inesa 1,11/26/2013
289,,,1937E,01B,Prishtinë,FAN S.NOLI,PO,N/A,6:00 - 7:00,PO,PO,6:00 - 7:00,15,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,200,0,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,29,100,121,132,0,3,29,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,PO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,246,132,PO,PO,PO,PO,129,9,PO,PO,129,1,PO,PO,3,3,,Gjithmonë,Gjithmonë,,,,,,,,,,,,,,,,,,,,,,Inesa 1,12/3/2013
290,,,1906E,04R,Prishtinë,FAKULTETI FILOLOGJIK,PO,JO,7:00 - 7:30,PO,PO,7:00 +,9,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,900,928,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,36,124,238,314,0,0,4,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,18:00 - 18:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,928,314,PO,PO,PO,PO,314,22,PO,PO,314,1,PO,PO,0,0,,,,23:00 +,JO,,,,,,,,,,,,,,,,,,,,DnV-Inesa,12/3/2013
291,,N/A,1958E,01D,Prishtinë,;DITET E MINATORIT,PO,JO,6:00 - 7:00,PO,PO,7:00 +,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,250,252,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,28,56,93,0,23,18,0,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,N/A,JO,19:00 - 19:30,JO,,20:00 - 21:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,252,119,PO,PO,PO,PO,101,21,PO,PO,101,1,PO,PO,18,18,PO,Gjithmonë,Gjithmonë,23:00 +,JO,,,,,,,,,,,,,,,,,,,,Inesa 1,12/3/2013
292,,N/A,1906E,03R,Prishtinë,FAKULTETI FILOLOGJIK,PO,JO,6:00 - 7:00,PO,PO,6:00 - 7:00,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,900,941,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,41,151,245,334,0,0,4,PO,N/A,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,LB,,,FALSE,TRUE,FALSE,,JO,,PO,PO,PO,PO,334,334,PO,PO,PO,PO,334,2,PO,,334,13,PO,PO,0,0,,,,23:00 +,JO,,,,,,,,,,,,,,,,,,,,DnV-Inesa,12/3/2013
293,,,1962E,1,Prishtinë,ISA BOLETINI,PO,PO,6:00 - 7:00,PO,PO,6:00 - 7:00,9,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,53,162,208,260,88,9,22,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,JO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,662,260,JO,JO,PO,PO,251,24,PO,PO,200,6,PO,PO,9,9,,Gjithmonë,,20:00 - 23:00,JO,,,,,,,,,,,,,,,,,,,,Inesa 1,12/3/2013
294,,,1963E,01D,Prishtinë,Liria,N/A,JO,7:00 - 7:30,PO,PO,5:00 - 5:30,7,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,200,219,2,PO,PO,PO,PO,7:00 - 7:30,TRUE,TRUE,TRUE,TRUE,TRUE,PSD,,,TRUE,FALSE,FALSE,,Gjithmonë,Gjithmonë,Gjithmonë,Gjithmonë,9,41,66,0,77,8,0,PO,JO,0,,JO,N/A,JO,JO,JO,JO,JO,PO,JO,JO,0,0,Gjithmonë,JO,19:00 - 19:30,JO,,19:00 -20:00,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,FALSE,,JO,,PO,PO,PO,PO,85,85,PO,PO,PO,PO,77,0,,PO,77,0,,PO,8,8,,Gjithmonë,Gjithmonë,,,,,,,,,,,,,,,,,,,,,,Inesa 1,12/3/2013
